tempo_seg,bicycle,bus,car,motorcycle,person,truck
0,15,69,393,26,94,23
1,44,90,265,0,203,7
2,12,90,235,0,67,4
3,0,90,328,9,67,14
4,0,64,388,1,32,13
5,20,48,374,0,56,44
6,27,53,306,1,156,76
7,8,46,314,0,52,69
8,3,77,324,2,64,77
9,7,109,444,0,62,15
10,26,159,417,0,98,0
11,24,153,373,0,128,2
12,16,197,336,7,54,0
13,44,75,371,7,69,18
14,47,82,500,0,42,4
15,37,54,330,0,95,19
16,1,65,325,0,50,5
17,5,69,311,0,55,16
18,20,85,374,0,80,19
19,18,87,316,0,53,10
20,27,74,279,0,153,5
21,3,70,299,0,45,1
22,4,38,168,0,9,0
